  0.755011  0.000000
  0.765033  0.000000
  0.775055  0.000000
  0.785078  0.000000
  0.795100  0.000000
  0.805122  0.000000
  0.815144  0.000000
  0.825166  0.000000
  0.835188  0.000000
  0.845211  0.000000
  0.855233  0.000000
  0.865255  0.000000
  0.875277  0.000000
  0.885299  0.000000
  0.895322  0.000000
  0.905344  0.000000
  0.915366  0.000000
  0.925388  0.000000
  0.935410  0.000000
  0.945432  0.000000
  0.955455  0.000000
  0.965477  0.000000
  0.975499  0.000000
  0.985521  0.000000
  0.995543  0.000000
  1.005565  0.000000
  1.015588  0.000000
  1.025610  0.007096
  1.035632  0.249411
  1.045654  1.148248
  1.055676  1.847065
  1.065698  1.894426
  1.075721  1.886051
  1.085743  1.864392
  1.095765  1.817020
  1.105787  1.806116
  1.115809  1.738932
  1.125832  1.740936
  1.135854  1.681239
  1.145876  1.649540
  1.155898  1.641562
  1.165920  1.611768
  1.175942  1.584757
  1.185965  1.563674
  1.195987  1.532471
  1.206009  1.516223
  1.216031  1.497777
  1.226053  1.456488
  1.236075  1.455883
  1.246098  1.426627
  1.256120  1.406167
  1.266142  1.394692
  1.276164  1.395202
  1.286186  1.339369
  1.296208  1.321242
  1.306231  1.315332
  1.316253  1.296844
  1.326275  1.272534
  1.336297  1.263389
  1.346319  1.239524
  1.356341  1.229475
  1.366364  1.219203
  1.376386  1.205829
  1.386408  1.186063
  1.396430  1.188888
  1.406452  1.168914
  1.416475  1.162483
  1.426497  1.147728
  1.436519  1.126190
  1.446541  1.126235
  1.456563  1.117676
  1.466585  1.093814
  1.476608  1.080801
  1.486630  1.079283
  1.496652  1.067110
  1.506674  1.069260
  1.516696  1.054451
  1.526718  1.044672
  1.536741  1.040269
  1.546763  1.032408
  1.556785  1.027676
  1.566807  1.018841
  1.576829  1.016149
  1.586851  0.995503
  1.596874  0.998242
  1.606896  0.983122
  1.616918  0.970214
  1.626940  0.978935
  1.636962  0.959696
  1.646985  0.958677
  1.657007  0.957642
  1.667029  0.962134
  1.677051  0.941860
  1.687073  0.934804
  1.697095  0.933472
  1.707118  0.935704
  1.717140  0.935181
  1.727162  0.916747
  1.737184  0.923407
  1.747206  0.921063
  1.757228  0.919895
  1.767251  0.916787
  1.777273  0.920906
  1.787295  0.919455
  1.797317  0.912745
  1.807339  0.899587
  1.817361  0.917364
  1.827384  0.911252
  1.837406  0.906842
  1.847428  0.909522
  1.857450  0.907743
  1.867472  0.914942
  1.877495  0.905493
  1.887517  0.910389
  1.897539  0.912066
  1.907561  0.915295
  1.917583  0.914929
  1.927605  0.919501
  1.937628  0.914138
  1.947650  0.920516
  1.957672  0.922447
  1.967694  0.923759
  1.977716  0.927433
  1.987738  0.934181
  1.997761  0.937087
  2.007783  0.930887
  2.017805  0.937381
  2.027827  0.932985
  2.037849  0.952854
  2.047871  0.944497
  2.057894  0.959956
  2.067916  0.960626
  2.077938  0.968208
  2.087960  0.973324
  2.097982  0.978767
  2.108005  0.987458
  2.118027  0.982295
  2.128049  0.990159
  2.138071  0.999675
  2.148093  0.997595
  2.158115  0.997950
  2.168138  0.993069
  2.178160  1.003834
  2.188182  1.006466
  2.198204  1.016059
  2.208226  1.020225
  2.218248  1.014997
  2.228271  1.023030
  2.238293  1.019943
  2.248315  1.019478
  2.258337  1.016880
  2.268359  1.024287
  2.278381  1.021322
  2.288404  1.021781
  2.298426  1.034022
  2.308448  1.029622
  2.318470  1.027520
  2.328492  1.029180
  2.338514  1.025459
  2.348537  1.026399
  2.358559  1.027658
  2.368581  1.030132
  2.378603  1.025750
  2.388625  1.023534
  2.398648  1.025736
  2.408670  1.031122
  2.418692  1.028540
  2.428714  1.027109
  2.438736  1.021915
  2.448758  1.024346
  2.458781  1.025534
  2.468803  1.015023
  2.478825  1.019974
  2.488847  1.020646
  2.498869  1.017536
  2.508891  1.016386
  2.518914  1.018851
  2.528936  1.018489
  2.538958  1.022092
  2.548980  1.020230
  2.559002  1.021978
  2.569024  1.015139
  2.579047  1.017698
  2.589069  1.014857
  2.599091  1.012746
  2.609113  1.016936
  2.619135  1.016819
  2.629158  1.011000
  2.639180  1.012809
  2.649202  1.011440
  2.659224  1.009995
  2.669246  1.008621
  2.679268  1.011630
  2.689291  1.005421
  2.699313  1.008714
  2.709335  1.006187
  2.719357  1.007428
  2.729379  1.005169
  2.739401  0.999246
  2.749424  1.001060
  2.759446  0.994094
  2.769468  0.998216
  2.779490  0.990918
  2.789512  0.997004
  2.799534  1.000850
  2.809557  0.994809
  2.819579  0.999025
  2.829601  0.998695
  2.839623  0.991914
  2.849645  0.997738
  2.859668  0.994534
  2.869690  0.988004
  2.879712  0.993845
  2.889734  0.991584
  2.899756  0.991985
  2.909778  0.992759
  2.919801  0.995195
  2.929823  0.986354
  2.939845  0.991730
  2.949867  0.985231
  2.959889  0.983573
  2.969911  0.993213
  2.979934  0.990048
  2.989956  0.989773
  2.999978  0.989311
  3.010000  0.989158
  3.020022  0.990639
  3.030044  0.986899
  3.040067  0.992525
  3.050089  0.991825
  3.060111  0.987807
  3.070133  0.992766
  3.080155  0.991404
  3.090178  0.994130
  3.100200  0.992744
  3.110222  0.992463
  3.120244  0.994311
  3.130266  0.996171
  3.140288  0.993784
  3.150311  1.000088
  3.160333  0.990829
  3.170355  0.991100
  3.180377  0.999661
  3.190399  0.997126
  3.200421  0.998736
  3.210444  0.996801
  3.220466  1.000253
  3.230488  1.000113
  3.240510  0.997475
  3.250532  0.999727
  3.260554  0.995794
  3.270577  0.998630
  3.280599  0.998293
  3.290621  0.996210
  3.300643  0.998996
  3.310665  0.998049
  3.320687  0.995836
  3.330710  0.998298
  3.340732  0.994914
  3.350754  1.002995
  3.360776  1.003145
  3.370798  0.994121
  3.380821  0.998510
  3.390843  1.003120
  3.400865  0.999433
  3.410887  1.005075
  3.420909  1.001895
  3.430931  0.998978
  3.440954  1.000437
  3.450976  0.998675
  3.460998  0.997413
  3.471020  0.998878
  3.481042  1.000441
  3.491064  0.999526
  3.501087  1.000341
  3.511109  0.994285
  3.521131  0.992328
  3.531153  1.002775
  3.541175  0.999760
  3.551197  0.998785
  3.561220  1.000120
  3.571242  0.997329
  3.581264  0.997258
  3.591286  0.994587
  3.601308  0.996216
  3.611331  0.994731
  3.621353  1.003043
  3.631375  0.998514
  3.641397  1.001935
  3.651419  1.000076
  3.661441  1.001289
  3.671464  0.994369
  3.681486  1.001863
  3.691508  0.999612
  3.701530  0.999254
  3.711552  0.999697
  3.721574  1.002146
  3.731597  1.001132
  3.741619  0.998532
  3.751641  1.001678
  3.761663  0.997857
  3.771685  1.003797
  3.781707  0.999977
  3.791730  1.007869
  3.801752  1.004139
  3.811774  0.999603
  3.821796  0.996923
  3.831818  1.001335
  3.841841  0.998705
  3.851863  1.003271
  3.861885  1.004028
  3.871907  1.005277
  3.881929  0.999856
  3.891951  1.005344
  3.901974  0.999706
  3.911996  1.003878
  3.922018  1.001717
  3.932040  0.999631
  3.942062  0.997677
  3.952084  1.003675
  3.962107  1.003819
  3.972129  1.000813
  3.982151  1.002586
  3.992173  1.003667
  4.002195  1.001036
  4.012217  1.007232
  4.022240  1.001743
  4.032262  1.004613
  4.042284  1.001945
  4.052306  1.000467
  4.062328  1.002311
  4.072350  1.005576
  4.082373  0.996304
  4.092395  0.998452
  4.102417  0.999373
  4.112439  1.003241
  4.122461  1.002270
  4.132484  1.006602
  4.142506  0.999784
  4.152528  1.003902
  4.162550  1.003111
  4.172572  0.998964
  4.182594  1.001680
  4.192617  0.998252
  4.202639  0.999242
  4.212661  0.999495
  4.222683  0.996373
  4.232705  0.999101
  4.242727  1.004250
  4.252750  0.999258
  4.262772  0.996868
  4.272794  0.997838
  4.282816  0.996152
  4.292838  0.995797
  4.302860  0.996113
  4.312883  1.000145
  4.322905  0.999622
  4.332927  0.997921
  4.342949  0.997438
  4.352971  1.000305
  4.362994  1.000278
  4.373016  0.998401
  4.383038  1.001342
  4.393060  0.999651
  4.403082  1.000388
  4.413104  1.000962
  4.423127  0.999804
